Locations,Field,Soil fertility,Treatment,Period,Total Nitrogen (g kg-1),Soil organic carbon (g kg-1),pH (H20),Resin_Phosphorus (mg kg-1),Exchangeable_Potassium (mg kg-1),Sand (g kg-1),Silt (g kg-1),Clay (g kg-1)
Embu,14,High,NTRM,Trial end,2.6637783294839767,25.82799535468457,5.56,64.15297597096941,1.4779382868106947,108.0,272.0,620.0
Embu,15,Low,C,Trial end,2.656587517255489,10.525224428850299,4.952,0.3411693660029335,0.08806368030219165,42.800000000000004,76.0,881.0
Embu,15,Low,NTR,Trial end,2.6394514286972264,28.310612112942223,4.87,3.933608549148665,0.14772011604831087,42.800000000000004,76.0,881.0
Embu,15,Low,CTM,Trial end,2.702622527931184,26.737187813717952,5.34,15.044051266894906,0.33183415766043234,42.800000000000004,76.0,881.0
Embu,15,Low,NTRM,Trial end,3.2114034366342503,35.074722624969624,5.31,66.5413863425435,0.2143332139751394,42.800000000000004,76.0,881.0
Embu,16,Low,C,Trial end,2.435469613646847,10.7425958670666,5.03,5.441955348957349,0.14874063498474133,37.8,96.30000000000001,866.0
Embu,16,Low,NTR,Trial end,2.5656076442464073,28.03519005241324,5.0,37.961483144643175,0.24386841740477377,37.8,96.30000000000001,866.0
Embu,16,Low,CTM,Trial end,2.6452446407683587,27.30731058854719,5.08,38.96282034497962,0.22507545142974064,37.8,96.30000000000001,866.0
Embu,16,Low,NTRM,Trial end,2.4180147464664854,26.6717093933736,5.2,58.669619441835174,0.4249991461613539,37.8,96.30000000000001,866.0
Embu,17,Low,C,Trial end,3.5959794113286985,17.5839313025485,5.08,0.1123810237824932,0.19511374403431422,33.5,74.7,892.0
Embu,17,Low,NTR,Trial end,3.4004253175413197,33.68220854498851,4.98,4.724617774628385,0.3526066240271571,33.5,74.7,892.0
Embu,17,Low,CTM,Trial end,4.157012188299586,46.95047628255976,5.58,29.992025710414815,0.7048611695480462,33.5,74.7,892.0
Embu,17,Low,NTRM,Trial end,3.9633738646617944,40.986075007680576,5.45,8.700619294197448,0.7523327882161962,33.5,74.7,892.0
Embu,18,Low,C,Trial end,3.5578454501529064,23.7844049786677,5.19,0.32486242257721426,0.32689213660199246,39.4,90.39999999999999,870.0
Embu,18,Low,NTR,Trial end,3.272601047492345,30.183604440236614,5.05,34.2556681469785,0.47525240629747256,39.4,90.39999999999999,870.0
Embu,18,Low,CTM,Trial end,3.7859758019114578,36.6371730987804,5.742,2.6121138659901333,0.6709912007030355,39.4,90.39999999999999,870.0
Embu,18,Low,NTRM,Trial end,4.448589838416656,46.546778035703056,5.36,8.952241627314049,0.5561828203546074,39.4,90.39999999999999,870.0
Embu,19,Low,C,Trial end,2.4547382494244867,3.656870838543,5.82,0.23626497084150191,0.4230933203938142,26.8,70.4,903.0
Embu,19,Low,NTR,Trial end,2.9836662409099546,26.18151486302555,4.653,13.194897026631663,0.7956079584664085,26.8,70.4,903.0
Embu,19,Low,CTM,Trial end,2.953506515383836,24.981381554524262,5.17,29.71997346528948,0.5414151012470501,26.8,70.4,903.0
Embu,19,Low,NTRM,Trial end,3.011304360363666,28.286258374419226,6.05,30.188653403897128,1.6778760449024146,26.8,70.4,903.0
Embu,20,Low,C,Trial end,2.3129700253790606,9.4922923001657,5.17,0.11271682365435322,0.16855375793540237,38.4,69.9,892.0
Embu,20,Low,NTR,Trial end,2.8583390975990133,24.93898660091893,4.92,48.72904354633755,0.18726522483499167,38.4,69.9,892.0
Embu,20,Low,CTM,Trial end,2.6750982641944248,23.614553643838864,5.32,31.277420952936975,0.5663880097189121,38.4,69.9,892.0
